# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       157  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       130  ................  05050505050505050505050505050505
       126  ................  01010101010101010101010101010101
       123  ................  02020202020202020202020202020202
       119  ................  fefefefefefefefefefefefefefefefe
# epoch 6000  H=7.7633 C=7.5469 HO=0.1539  A(t)=312
       735  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       545  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       499  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       235  ................  01010101010101010101010101010101
       234  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       147  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       132  ................  03030303030303030303030303030303
       124  1111111111111111  31313131313131313131313131313131
       124  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       113  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
# epoch 6250  H=7.7648 C=7.5351 HO=0.1648  A(t)=314
       508  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       483  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       349  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       185  ................  01010101010101010101010101010101
       146  ................  03030303030303030303030303030303
       139  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       131  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
       127  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       121  ................  dededededededededededededededede
       112  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
# epoch 6500  H=7.7645 C=7.5457 HO=0.1557  A(t)=314
       615  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       541  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       285  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       221  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       158  ................  fefefefefefefefefefefefefefefefe
       156  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       122  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       119  ................  01010101010101010101010101010101
       116  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
       114  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
# epoch 6750  H=7.7652 C=7.5480 HO=0.1478  A(t)=315
       560  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
