# epoch 0  H=7.9999 C=8.0025 HO=-0.0026  A(t)=0
       707  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       564  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       509  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       499  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       397  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       390  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       385  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       271  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       226  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
# epoch 4000  H=7.6344 C=7.3348 HO=0.2996  A(t)=377
      1210  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       699  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       625  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       435  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       398  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       354  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       334  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       249  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       225  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       213  6666666666666666  36363636363636363636363636363636
# epoch 4200  H=7.6255 C=7.3417 HO=0.2838  A(t)=379
      1240  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       771  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       615  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       586  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       499  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       337  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       321  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       237  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       232  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       220  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
# epoch 4400  H=7.6212 C=7.3500 HO=0.2712  A(t)=379
       906  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       718  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       679  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       490  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       461  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       340  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       331  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       271  ................  b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4
       217  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       193  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
# epoch 4600  H=7.6194 C=7.3639 HO=0.2556  A(t)=379
      1041  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       644  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       575  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       472  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       409  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       334  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       237  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       219  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       204  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       199  7777777777777777  37373737373737373737373737373737
# epoch 4800  H=7.6138 C=7.3600 HO=0.2538  A(t)=379
       976  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       869  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       728  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       546  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       350  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       337  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       308  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       294  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       196  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
       190  9999999999999999  39393939393939393939393939393939
# epoch 5000  H=7.6067 C=7.3523 HO=0.2544  A(t)=379
      1213  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       624  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       621  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       531  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       463  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       381  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       350  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       314  9999999999999999  39393939393939393939393939393939
       227  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       215  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
# epoch 5200  H=7.5977 C=7.3514 HO=0.2463  A(t)=380
       924  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       675  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       539  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       435  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       425  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       338  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       329  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       284  ................  ffffffffffffffffffffffffffffffff
       251  9999999999999999  39393939393939393939393939393939
       228  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
# epoch 5400  H=7.5845 C=7.3423 HO=0.2422  A(t)=380
