# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
      6326  .m}Q.QQ?.,Y.bQ..  e76d7d510851513ffa2c590a6251c7f0
      6248  .&[[>........m}Q  8e265b5b3eea08e708a0e2fde76d7d51
      6222  [>........m}Q.QQ  5b3eea08e708a0e2fde76d7d51085151
      6218  Q.QQ?.,Y.bQ..]+]  510851513ffa2c590a6251c7f05d2b5d
# epoch 6000  H=5.8227 C=1.3654 HO=5.0393  A(t)=305
      3052  4t4YYF.&[[>.....  3474345959468e265b5b3eea08e708a0
      2720  }Q.QQ?.,Y.bQ..]+  7d510851513ffa2c590a6251c7f05d2b
      2671  m}Q.QQ?.,Y.bQ..]  6d7d510851513ffa2c590a6251c7f05d
      2518  t4YYF.&[[>......  74345959468e265b5b3eea08e708a0e2
      2466  [[>........m}Q.Q  5b5b3eea08e708a0e2fde76d7d510851
      2453  .....m}Q.QQ?.,Y.  08a0e2fde76d7d510851513ffa2c590a
      2354  ....m}Q.QQ?.,Y.b  a0e2fde76d7d510851513ffa2c590a62
      2293  Q.QQ?.,Y.bQ..]+]  510851513ffa2c590a6251c7f05d2b5d
      2270  .m}Q.QQ?.,Y.bQ..  e76d7d510851513ffa2c590a6251c7f0
      2255  .......m}Q.QQ?.,  08e708a0e2fde76d7d510851513ffa2c
# epoch 6250  H=5.9893 C=1.3944 HO=5.2019  A(t)=305
      2062  }Q.QQ?.,Y.bQ..]+  7d510851513ffa2c590a6251c7f05d2b
      1822  Q.QQ?.,Y.bQ..]+]  510851513ffa2c590a6251c7f05d2b5d
      1477  .QQ?.,Y.bQ..]+]&  0851513ffa2c590a6251c7f05d2b5d26
      1130  .,Y.bQ..]+]&...Y  fa2c590a6251c7f05d2b5d26b0c71259
      1104  m}Q.QQ?.,Y.bQ..]  6d7d510851513ffa2c590a6251c7f05d
      1060  ]+]&...YY...[YY4  5d2b5d26b0c7125959d8a0c75b595934
      1043  UV...]+]&...YY.L  555613c7f05d2b5d26b0c7125959d84c
      1023  ,.UV...]+]&...YY  2ced555613c7f05d2b5d26b0c7125959
      1018  .UV...]+]&...YY.  ed555613c7f05d2b5d26b0c7125959d8
       974  ...]+]&...YY.L([  13c7f05d2b5d26b0c7125959d84c285b
# epoch 6500  H=6.1655 C=1.4233 HO=5.3845  A(t)=970
      1140  >........m}Q.QQ?  3eea089108a0e2fde76d7d510851513f
      1136  [>........m}Q.QQ  5b3eea089108a0e2fde76d7d51085151
      1001  ........m}Q.QQ?'  ea089108a0e2fde76d7d510851513f27
      1000  .......m}Q.QQ?',  089108a0e2fde76d7d510851513f272c
       990  ......m}Q.QQ?',Y  9108a0e2fde76d7d510851513f272c59
