# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       170  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       148  ................  02020202020202020202020202020202
       146  ................  ffffffffffffffffffffffffffffffff
       137  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       128  7777777777777777  37373737373737373737373737373737
       126  1111111111111111  31313131313131313131313131313131
# epoch 6500  H=7.7891 C=7.5871 HO=0.1344  A(t)=310
       712  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       682  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       388  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       152  ................  01010101010101010101010101010101
       119  UUUUUUUUUUUUUUUU  55555555555555555555555555555555
       102  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
        95  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
        93  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
        90  ................  04040404040404040404040404040404
        88  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
# epoch 6750  H=7.7884 C=7.5668 HO=0.1557  A(t)=311
       583  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       517  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       344  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       179  ................  02020202020202020202020202020202
       137  ................  03030303030303030303030303030303
       130  ````````````````  60606060606060606060606060606060
       122  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       118  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       103  2222222222222222  32323232323232323232323232323232
       100  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
# epoch 7000  H=7.7851 C=7.5856 HO=0.1365  A(t)=311
       696  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       325  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       315  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       151  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       124  ................  ffffffffffffffffffffffffffffffff
       118  ................  03030303030303030303030303030303
       115  ................  80808080808080808080808080808080
       114  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       100  ................  05050505050505050505050505050505
        97  ................  09090909090909090909090909090909
# epoch 7250  H=7.7841 C=7.5876 HO=0.1368  A(t)=311
       500  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       386  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       381  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       149  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       148  ................  fefefefefefefefefefefefefefefefe
       139  ................  d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
       130  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
       125  1111111111111111  31313131313131313131313131313131
       108  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       104  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
# epoch 7500  H=7.7861 C=7.5782 HO=0.1467  A(t)=311
       570  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       521  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       391  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       226  ................  02020202020202020202020202020202
       179  ................  01010101010101010101010101010101
