# epoch 0  H=7.9996 C=8.0025 HO=-0.0004  A(t)=0
        27  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
        25  ................  dadadadadadadadadadadadadadadada
        22  ................  a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6
        21  ................  d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
        21  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
        21  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
# epoch 1050  H=7.9946 C=7.9572 HO=-0.0055  A(t)=72
       250  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        56  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        36  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        35  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        27  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
        26  ................  ecececececececececececececececec
        25  ................  dadadadadadadadadadadadadadadada
        21  ................  d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
        21  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
        20  ................  e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
# epoch 1100  H=7.9943 C=7.9539 HO=-0.0057  A(t)=75
       271  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        68  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        47  ................  d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
        45  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
        44  EEEEEEEEEEEEEEEE  45454545454545454545454545454545
        36  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        31  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
        28  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        27  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
        26  ................  ecececececececececececececececec
# epoch 1150  H=7.9941 C=7.9544 HO=-0.0060  A(t)=78
       257  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        82  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        47  ................  d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
        36  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        32  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
        29  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
        25  ................  dadadadadadadadadadadadadadadada
        23  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
        21  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
        20  ................  e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
# epoch 1200  H=7.9936 C=7.9544 HO=-0.0065  A(t)=80
       369  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        52  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        37  ................  d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
        29  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
        25  ................  dadadadadadadadadadadadadadadada
        24  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        21  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
        20  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
        19  wwwwwwwwwwwwwwww  77777777777777777777777777777777
        16  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
# epoch 1250  H=7.9933 C=7.9546 HO=-0.0068  A(t)=82
