# epoch 0  H=7.9968 C=8.0032 HO=-0.0037  A(t)=0
         1  ..[.v.......d...  ffff5bbd761690e0f415bd946402bdd4
         8  ............,...  0101010101010101010101012c010101
         6  .........,......  0101010101010101012c010101010101
         6  ..........,.....  010101010101010101012c0101010101
# epoch 7750  H=6.3650 C=6.1725 HO=0.3047  A(t)=13
      2144  ................  01010101010101010101010101010101
       925  ................  00000000000000000000000000000000
        27  ))))))))))))))))  29292929292929292929292929292929
        18  ...............,  0101010101010101010101010101012c
        13  ................  ffffffffffffffffffffffffffffffff
        11  ..............,.  01010101010101010101010101012c01
        10  .............,..  010101010101010101010101012c0101
         9  ................  01010101010101010101010101010102
         6  ................  04010101010101010101010101010101
         6  ................  01010101010101010202010101010101
# epoch 8000  H=6.3992 C=6.1969 HO=0.3273  A(t)=13
      2458  ................  01010101010101010101010101010101
       957  ................  00000000000000000000000000000000
        23  ...............,  0101010101010101010101010101012c
        15  ..............,.  01010101010101010101010101012c01
        11  .............,..  010101010101010101010101012c0101
        10  ................  01010101010101010101010101010102
         8  ................  c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3
         8  ................  02010101010101010101010101010101
         6  ............,...  0101010101010101010101012c010101
         6  ................  01010101010101010101010101010202
# epoch 8250  H=6.4469 C=6.2926 HO=0.2687  A(t)=13
      2108  ................  01010101010101010101010101010101
       933  ................  00000000000000000000000000000000
        32  eeeeeeeeeeeeeeee  65656565656565656565656565656565
        19  ...............,  0101010101010101010101010101012c
        13  ................  01010101010101010101010101010102
        12  ..............,.  01010101010101010101010101012c01
         9  .............,..  010101010101010101010101012c0101
         8  ................  02010101010101010101010101010101
         7  ................  01010101010101010101010101010202
         6  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
# epoch 8500  H=6.4619 C=6.3118 HO=0.2595  A(t)=14
      1658  ................  01010101010101010101010101010101
       973  ................  00000000000000000000000000000000
        14  ...............,  0101010101010101010101010101012c
         9  ................  01010101010101010101010101010102
         8  ..............,.  01010101010101010101010101012c01
         7  ................  02010101010101010101010101010101
         6  ................  00000000000000000001000000000000
         6  ................  00000000000000000000010000000000
         5  .............,..  010101010101010101010101012c0101
         5  ................  01000000000000000000000000000000
# epoch 8750  H=6.4763 C=6.3303 HO=0.2579  A(t)=14
      1471  ................  01010101010101010101010101010101
      1122  ................  00000000000000000000000000000000
        37  ................  0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c
        15  ...............,  0101010101010101010101010101012c
         7  ..............,.  01010101010101010101010101012c01
         6  ................  01010101010101010101010101010102
         5  ................  fe010101010101010101010101010101
         5  ................  d8000000d8000000d8000000d8000000
         5  ................  01000000000000000000000000000000
         5  ................  00d8000000d8000000d8000000d80000
# epoch 9000  H=6.4837 C=6.3527 HO=0.2539  A(t)=14
      1676  ................  01010101010101010101010101010101
       927  ................  00000000000000000000000000000000
        20  ...............,  0101010101010101010101010101012c
        13  2222222222222222  32323232323232323232323232323232
        13  ................  01010101010101010101010101010102
        11  ................  01010101010101010101010101010202
        10  ................  01000000000000000000000000000000
         7  .............,..  010101010101010101010101012c0101
         7  ..............,.  01010101010101010101010101012c01
         6  ................  01010101010101010101000101010101
# epoch 9250  H=6.4752 C=6.3354 HO=0.2673  A(t)=14
      1837  ................  01010101010101010101010101010101
       850  ................  00000000000000000000000000000000
        19  ...............,  0101010101010101010101010101012c
         9  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
         9  ................  01010101010101010101010101010102
