# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       741  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       598  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       566  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       436  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       378  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       349  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       337  8888888888888888  38383838383838383838383838383838
       305  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       233  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
# epoch 5750  H=7.5764 C=7.3185 HO=0.2055  A(t)=360
       849  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       636  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       576  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       567  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       283  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       278  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       257  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
       234  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       229  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       222  8888888888888888  38383838383838383838383838383838
# epoch 6000  H=7.5805 C=7.3278 HO=0.1985  A(t)=360
       869  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       621  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       465  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       337  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       323  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       305  9999999999999999  39393939393939393939393939393939
       297  ................  01010101010101010101010101010101
       292  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
       262  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       236  ................  adadadadadadadadadadadadadadadad
# epoch 6250  H=7.5714 C=7.3125 HO=0.2042  A(t)=360
       775  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       760  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       646  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       513  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       416  9999999999999999  39393939393939393939393939393939
       415  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       406  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       392  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       371  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       265  4444444444444444  34343434343434343434343434343434
# epoch 6500  H=7.5664 C=7.2960 HO=0.2227  A(t)=360
      1067  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       867  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       798  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       761  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       625  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       598  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       405  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       370  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       241  9999999999999999  39393939393939393939393939393939
       208  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
# epoch 6750  H=7.5655 C=7.2865 HO=0.2256  A(t)=361
       974  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       839  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       821  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       742  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       647  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       450  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       381  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       291  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       265  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       231  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
# epoch 7000  H=7.5677 C=7.2824 HO=0.2352  A(t)=363
       957  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       712  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       690  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       658  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       484  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       386  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       369  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       294  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       265  8888888888888888  38383838383838383838383838383838
       261  9999999999999999  39393939393939393939393939393939
# epoch 7250  H=7.5623 C=7.2765 HO=0.2343  A(t)=363
      1072  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       808  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
