# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       240  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       224  ................  01010101010101010101010101010101
       212  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
# epoch 6000  H=7.5589 C=7.2906 HO=0.2157  A(t)=359
       999  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       923  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       717  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       592  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       581  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       383  ................  01010101010101010101010101010101
       298  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       172  ................  fefefefefefefefefefefefefefefefe
       172  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       169  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
# epoch 6250  H=7.5581 C=7.2884 HO=0.2169  A(t)=360
       991  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       855  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       818  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       813  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       649  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       415  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       280  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       240  ................  01010101010101010101010101010101
       210  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
       171  ................  99999999999999999999999999999999
# epoch 6500  H=7.5519 C=7.2824 HO=0.2161  A(t)=361
       971  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       797  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       747  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       694  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       653  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       394  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       380  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       354  9999999999999999  39393939393939393939393939393939
       307  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       276  ................  01010101010101010101010101010101
# epoch 6750  H=7.5432 C=7.2852 HO=0.2049  A(t)=361
