epoch,family,coverage,count,top_count,size,rep_hex,rep_printable,is_leader
25500,116,0.0336,6904,1032,8,213b11815f5eb52587b1b0ffcf8b373e,!;.._^.%......7>,0
25500,117,0.033508,4116,853,6,daaf3edb4664377d442c5dc8c70f15b6,"..>.Fd7}D,].....",0
25500,118,0.031921,14049,827,18,b1b0ffcf8b373e759687197d2c5dc56c,".....7>u...},].l",0
25500,119,0.029327,5939,956,8,2c9eec6d7f5d8b7950f0cd4650d00847,",..m.].yP..FP..G",0
25500,120,0.02887,6004,915,9,5b11fcfeff614c213b11815f5eb52587,[....aL!;.._^.%.,0
26000,117,0.066681,30481,986,53,daaf3edb4664e47da72c5dc8c70f15b6,"..>.Fd.}.,].....",0
26000,121,0.03949,6019,529,14,de409ed6893e9494349c7d142c5d97a3,".@...>..4.}.,]..",0
26000,122,0.038147,7724,686,15,ff49ce8f5b11fcfeff614c213b11812f,.I..[....aL!;../,0
26000,118,0.036591,9659,943,16,b0ffcf8b373e759687197d2c5dc56c0a,"....7>u...},].l.",0
26000,106,0.034973,1507,581,3,0e9f5c3eadafab907d2ccaca67357819,"..\>....},..g5x.",0
26000,114,0.030121,2525,498,6,777a3ff2df59a8b0b328ffa05b0c790e,wz?..Y...(..[.y.,0
26500,123,0.046417,10924,600,24,d6703e94fd38ff7d142c5dc8a32da59c,".p>..8.}.,]..-..",0
26500,124,0.043945,5792,871,11,fc4aca5b4f880e6c743e3885906e7d2c,".J.[O..lt>8..n},",0
26500,117,0.032501,4702,510,10,af3edbeaa1377d442c5d6fc70f15b682,".>...7}D,]o.....",0
26500,125,0.030426,5634,724,10,f069836c5ba7a7084e58ad9fd0a51ae3,.i.l[...NX......,0
26500,106,0.029327,4521,726,8,3eadafab907d2ccaca67357819a4e5b6,">....},..g5x....",0
26500,126,0.026398,7397,673,14,7020d9e73e618811b17d2c40eb5d7018,"p_..>a...},@.]p.",0
27000,123,0.066162,22940,569,46,d4d6703e94fd38ff7d142c5dc8a32da5,"..p>..8.}.,]..-.",0
27000,127,0.034851,7014,555,14,7cb7891e7d2c0c0cb4271d9a7e95b65d,"|...},...'..~..]",0
27000,128,0.032593,12596,779,21,5b010941072f77f3c0fb7368bf893e0c,[..A./w...sh..>.,0
27000,129,0.03183,10351,851,15,a895cbdc33bfaf3b38e411cac2302851,....3..;8....0(Q,0
27000,130,0.028748,1894,490,4,5ae7260767c4a02493b7764df7b0e009,Z.&.g..$..vM....,0
27000,131,0.026245,2184,822,4,158502faaf978c64baf06ceaba4b855e,.......d..l..K.^,0
27500,123,0.060028,8847,936,16,1b703ed534b1ff7d852c5d6fa32d81e9,".p>.4..}.,]o.-..",0
27500,132,0.035278,8034,804,13,6735dfdf5ce50f5d8ac29783a2d0a732,g5..\..].......2,0
27500,133,0.03302,4527,614,9,69713588c3748daa3ff22909670cb34e,iq5..t..?.).g..N,0
27500,134,0.030792,6155,592,13,ff7d142c5dc8a32da58b5164cdd5e032,".}.,]..-..Qd...2",0
27500,135,0.030365,6511,505,15,8cebf65b0c819423743e7cb7891e7d2c,"...[...#t>|...},",0
27500,136,0.027496,7436,876,12,78a37d2c8be091a28efceb5d78a37d2c,"x.},.......]x.},",0
28000,123,0.058411,5062,542,11,d6703e94fd38ff7df52c5dc8a32da58b,".p>..8.}.,]..-..",0
28000,137,0.038696,4701,474,11,ff070c8e94e3ffb72049227fa5868042,"........_I""....B",0
28000,138,0.034943,11148,892,19,7d2cefca67357820942712f5fbe6668a,"},..g5x_.'....f.",0
28000,139,0.033325,7257,592,16,a43ea5d2fb1c7d2c5de2ff601bcff9e0,".>....},]..`....",0
28000,140,0.031525,8557,594,19,ffb72049227fa586804269ad48ac5ba4,".._I""....Bi.H.[.",0
28000,134,0.0271,4394,490,10,ff7df52c5dc8a32da58b51d5cdd5e032,".}.,]..-..Q....2",0
28500,139,0.044403,9050,496,20,3b96a43ea5d2fb1c7d2c5de2ff601bcf,";..>....},]..`..",0
28500,141,0.042175,5785,832,11,2c5d97a1aaff54491a977b836d754897,",]....TI..{.muH.",0
28500,142,0.032288,9102,555,18,ca48147fd4d6703e94fd38ff7d142c5d,".H....p>..8.}.,]",0
28500,143,0.026978,5106,442,12,e689febd5707e45bffa7647a334becec,....W..[..dz3K..,0
28500,144,0.020813,7250,628,13,4e3e687487197d2c5db53cca4b28552c,"N>ht..},].<.K(U,",0
28500,145,0.02063,2460,530,5,fc78f5215d570f2ba9df3fed5891a5db,.x.!]W.+..?.X...,0
29000,136,0.039307,18155,837,26,a37d2c8ba291a28e6f8f5d78a37d2cce,".},.....o.]x.},.",0
29000,146,0.036713,6455,799,9,6f8f5d78a37d2cce92fa8bc029649713,"o.]x.},.....)d..",0
29000,147,0.030762,6996,522,15,7d852c5d6f552d8112dfc4cd96d43229,"}.,]oU-.......2)",0
29000,148,0.025909,3385,785,5,b598703ea134b1fa7d852c5d6f552d81,"..p>.4..}.,]oU-.",0
29000,149,0.020355,2092,629,4,791d0235ced7d0378969830d5b63a7fb,y..5...7.i..[c..,0
29000,150,0.018921,6885,610,12,ec326ac106fc87a13b5220c75b7e2adf,.2j.....;R_.[~*.,0
29500,151,0.037598,5798,448,14,c17664967d302c5d6ea18dff54491a0e,".vd.}0,]n...TI..",0
29500,152,0.029358,7331,465,17,3fe7e36b85e8e689f3b65707e45bffa7,?..k......W..[..,0
29500,153,0.027252,3393,442,8,8f7cdcb1213e477630967ddb2c5d97a1,".|..!>Gv0.}.,]..",0
29500,154,0.02533,3645,419,9,e978ad897a3fe2ec84bdc106fcc3e91a,.x..z?..........,0
29500,155,0.022797,4350,700,9,5b0c790e5c743e0aa7891e7d2c6c3494,"[.y.\t>....},l4.",0
29500,156,0.022369,3411,573,7,87527c5e5b3f2a9cd3e03ed62f78c47d,.R|^[?*...>./x.},0
30000,141,0.057587,15176,1014,24,967ddb2c5d97a1aaff54501ad67b836d,".}.,]....TP..{.m",0
30000,157,0.030334,3576,554,8,fbedbfeb3bb0ff2ac5a33e53c1452f7d,....;..*..>S.E/},0
30000,158,0.029327,961,577,2,3fff2e807f5a589c7a543f52e36ac433,?....ZX.zT?R.j.3,0
30000,159,0.028107,2566,672,5,def2a7dde3484e3e867659377dff2c5d,".....HN>.vY7}.,]",0
30000,160,0.024445,10825,659,19,da32d1cdff360e8c0ff65b0cc3942393,.2...6....[...#.,0
30000,161,0.022797,4083,713,7,30549a7e1db65dd4bbb6f1e7fe8c1ef7,0T.~..].........,0
30500,162,0.044067,11450,842,22,3e7a2f255e7d2c8be0645a8efceb5ddf,">z/%^},..dZ...].",0
30500,163,0.036987,12916,550,26,fa7a543f52e36ac433e6f9fbbd57326f,.zT?R.j.3....W2o,0
30500,164,0.034546,4925,685,9,4baf68401210233e9494949c7d2a2c5d,"K.h@..#>....}*,]",0
30500,165,0.034027,4499,593,10,3fff0f70f0a8e978ad89ae3fe2b7846a,?..p...x...?...j,0
30500,166,0.030762,5806,487,13,bdc106fcc3e9795222ac5b088492d3df,"......yR"".[.....",0
30500,167,0.030701,4380,408,11,94949c7d2a2c5d97b76ea5ebcad460d6,"...}*,]..n....`.",0
31000,153,0.066223,9638,1024,14,ecd67cdcb1213e4776fe967ddb2c5d97,"..|..!>Gv..}.,].",0
31000,168,0.037506,7353,1181,13,1a8e9ab13f9ac430a1727c5e5b3f2a9c,....?..0.r|^[?*.,0
31000,169,0.030884,5508,572,11,5e5b3f2a9cd3e03e3f2f5aae7d2c2029,"^[?*...>?/Z.},_)",0
31000,170,0.029877,6648,837,9,dfd21d5891a5db2179bd79ffbaeacdc4,...X...!y.y.....,0
31000,171,0.029572,9646,749,15,fe08c5b2e45b13a70159d2372aecd67c,.....[...Y.7*..|,0
31000,172,0.028839,4342,873,6,9ac430a1727c5e5b3f2a9cd3e03e3f2f,..0.r|^[?*...>?/,0
31500,173,0.062866,16198,845,27,703ea134b1447dae2c5d6f81d619123a,"p>.4.D}.,]o....:",0
31500,174,0.049774,12509,771,22,85f3d6afd466cbe31f059caeb598703e,.....f........p>,0
31500,151,0.049408,11299,793,21,db3ec10f64967d302c5d6ea18dd35449,".>..d.}0,]n...TI",0
31500,175,0.033569,7735,698,15,ce7ddb2c5d97a1aaff33a11acf7b1e6d,".}.,]....3...{.m",0
31500,176,0.030792,3387,662,6,3e867659197dff2c5d6e5db080e10f85,">.vY.}.,]n].....",0
31500,158,0.024323,2777,652,5,ff2e327fd558ea47543f52e3c6c4b320,..2..X.GT?R...._,0
32000,177,0.04538,11986,820,21,7d2cade0869f8ebaeb5d7868aed1ce2f,"},.......]xh.../",0
32000,178,0.042969,11389,948,17,835a8efceb5d78a3ac3dce94fac5260e,.Z...]x..=....&.,0
32000,176,0.04068,9550,1173,11,3e867659197dff2c5d6e5db080e10f85,">.vY.}.,]n].....",0
32000,179,0.036774,8043,681,16,3b96533ea5ed9fc07d2c5de29e601b26,";.S>....},]..`.&",0
32000,153,0.032227,4041,520,9,ec8fffd8b13d3e4776fece7ddb2c5d97,".....=>Gv..}.,].",0
32000,159,0.031769,6834,512,15,ccdef2a7358c48313e867659197dff2c,"....5.H1>.vY.}.,",0
32500,176,0.058746,18985,1025,29,3e867659197dff2c5d6e5db080e10f85,">.vY.}.,]n].....",0
32500,180,0.046936,8105,1273,10,89de6709fd08095b08847cd33f3e6b61,..g....[..|.?>ka,0
32500,177,0.037079,6809,951,10,7d2cade0869f8ebaeb5d7868aed1ce2f,"},.......]xh.../",0
32500,162,0.028931,2416,928,3,3e271a57a37d2c26e0835a8efceb5d78,">'.W.},&..Z...]x",0
32500,181,0.027191,3785,891,5,8ebaeb5d7868aed1ce2f83c58d0e6fd8,...]xh.../....o.,0
32500,182,0.026337,4359,829,7,23f0a8e9a0ad04753fe2ce846a14da89,#......u?...j...,0
33000,181,0.110718,25899,1015,42,8ebaeb5d7868aed1ce2f83c58d0e6fd8,...]xh.../....o.,0
33000,180,0.103638,31034,869,53,da89cb67b05708095b11847cd33f3e6b,...g.W..[..|.?>k,0
33000,183,0.034851,15898,985,22,382f3e0f414efa7d242c5de3552d34aa,"8/>.AN.}$,].U-4.",0
33000,184,0.025726,9825,596,18,e770e31da0f3178beb3a4727f363b0e5,.p.......:G'.c..,0
33000,148,0.024536,4696,644,8,d998db3ea19cb1bd7d852c5d1650b9ae,"...>....}.,].P..",0
33000,185,0.024475,4042,610,7,ad05081c945b62e79d051d71f30aafeb,.....[b....q....,0
