# epoch 0  H=7.9996 C=8.0025 HO=-0.0030  A(t)=0
       131  ................  15151515151515151515151515151515
       128  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       127  &&&&&&&&&&&&&&&&  26262626262626262626262626262626
# epoch 420  H=7.9851 C=7.5650 HO=0.4202  A(t)=259
       868  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       507  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       328  ................  01010101010101010101010101010101
       181  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       175  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       143  &&&&&&&&&&&&&&&&  26262626262626262626262626262626
       139  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
       127  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       123  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       122  ................  dadadadadadadadadadadadadadadada
# epoch 440  H=7.9839 C=7.5616 HO=0.4223  A(t)=262
       858  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       520  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       376  ................  01010101010101010101010101010101
       201  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       187  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
       173  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       137  ................  02020202020202020202020202020202
       136  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       136  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       122  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
# epoch 460  H=7.9828 C=7.5543 HO=0.4285  A(t)=264
       849  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       586  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       359  ................  01010101010101010101010101010101
       269  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       168  ................  ffffffffffffffffffffffffffffffff
       168  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
       155  ................  dadadadadadadadadadadadadadadada
       148  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       122  ((((((((((((((((  28282828282828282828282828282828
       121  ................  14141414141414141414141414141414
# epoch 480  H=7.9810 C=7.5365 HO=0.4445  A(t)=269
       802  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       633  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       374  ................  01010101010101010101010101010101
       291  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       211  ((((((((((((((((  28282828282828282828282828282828
       192  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
       181  ................  ffffffffffffffffffffffffffffffff
       179  IIIIIIIIIIIIIIII  49494949494949494949494949494949
       161  ................  14141414141414141414141414141414
       151  ................  dadadadadadadadadadadadadadadada
# epoch 500  H=7.9796 C=7.5280 HO=0.4516  A(t)=273
       812  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       617  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       370  ................  01010101010101010101010101010101
       277  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       271  IIIIIIIIIIIIIIII  49494949494949494949494949494949
       215  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
       207  ((((((((((((((((  28282828282828282828282828282828
       192  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
       178  ................  ffffffffffffffffffffffffffffffff
       151  ................  dadadadadadadadadadadadadadadada
# epoch 520  H=7.9783 C=7.5139 HO=0.4644  A(t)=275
       731  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       600  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       348  ................  01010101010101010101010101010101
       254  IIIIIIIIIIIIIIII  49494949494949494949494949494949
       250  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       209  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       188  ((((((((((((((((  28282828282828282828282828282828
       178  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
       174  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
       151  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
# epoch 540  H=7.9773 C=7.5043 HO=0.4730  A(t)=279
       682  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       575  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       309  ................  01010101010101010101010101010101
       231  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       208  IIIIIIIIIIIIIIII  49494949494949494949494949494949
       196  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
       180  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       177  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
       169  ((((((((((((((((  28282828282828282828282828282828
       152  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
# epoch 560  H=7.9759 C=7.4883 HO=0.4876  A(t)=281
       685  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       644  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       305  ................  01010101010101010101010101010101
       234  ((((((((((((((((  28282828282828282828282828282828
       218  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       192  IIIIIIIIIIIIIIII  49494949494949494949494949494949
       187  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
       185  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       178  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       176  ................  14141414141414141414141414141414
# epoch 580  H=7.9745 C=7.4747 HO=0.4997  A(t)=283
       775  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       670  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       299  ................  14141414141414141414141414141414
       268  ................  01010101010101010101010101010101
       259  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
       210  ((((((((((((((((  28282828282828282828282828282828
       190  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       187  IIIIIIIIIIIIIIII  49494949494949494949494949494949
       180  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
       172  ................  9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d
# epoch 600  H=7.9723 C=7.4674 HO=0.5049  A(t)=284
       827  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       724  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       287  ................  14141414141414141414141414141414
       252  ................  01010101010101010101010101010101
       238  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       233  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
       208  ((((((((((((((((  28282828282828282828282828282828
       186  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
       179  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
       178  IIIIIIIIIIIIIIII  49494949494949494949494949494949
# epoch 620  H=7.9707 C=7.4671 HO=0.5036  A(t)=285
       822  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       672  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       252  ................  01010101010101010101010101010101
       251  ................  14141414141414141414141414141414
       209  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       198  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
       180  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
       171  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       166  ................  9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d
       166  ((((((((((((((((  28282828282828282828282828282828
# epoch 640  H=7.9683 C=7.4695 HO=0.4989  A(t)=293
       783  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       757  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       248  ................  01010101010101010101010101010101
       230  ................  14141414141414141414141414141414
       195  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       181  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
       181  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
       162  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
