# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       547  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       543  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       158  ................  02020202020202020202020202020202
       150  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       147  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       130  ................  01010101010101010101010101010101
       114  DDDDDDDDDDDDDDDD  44444444444444444444444444444444
       110  ................  ffffffffffffffffffffffffffffffff
       107  ................  83838383838383838383838383838383
# epoch 7000  H=7.7604 C=7.5363 HO=0.1588  A(t)=315
       616  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       546  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       489  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       141  ................  7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f
       113  ................  01010101010101010101010101010101
       111  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       109  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       108  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
       102  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        96  ................  02020202020202020202020202020202
# epoch 7250  H=7.7635 C=7.5355 HO=0.1639  A(t)=315
       649  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       445  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       293  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       265  ................  ffffffffffffffffffffffffffffffff
       258  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       193  1111111111111111  31313131313131313131313131313131
       164  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       153  ................  e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
       136  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       135  ................  01010101010101010101010101010101
# epoch 7500  H=7.7583 C=7.5327 HO=0.1617  A(t)=315
       575  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       571  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       557  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       195  ................  ffffffffffffffffffffffffffffffff
       180  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       167  ................  01010101010101010101010101010101
       138  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       126  ................  fefefefefefefefefefefefefefefefe
       123  ................  07070707070707070707070707070707
       115  ................  02020202020202020202020202020202
# epoch 7750  H=7.7623 C=7.5460 HO=0.1516  A(t)=315
       526  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       522  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       195  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       178  ................  ffffffffffffffffffffffffffffffff
       168  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
