# epoch 0  H=7.9996 C=8.0025 HO=-0.0029  A(t)=0
       179  ................  06060606060606060606060606060606
       160  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       154  ................  edededededededededededededededed
       154  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
# epoch 700  H=7.9599 C=7.4155 HO=0.5445  A(t)=321
      1349  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       255  ................  01010101010101010101010101010101
       248  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       208  3333333333333333  33333333333333333333333333333333
       195  ................  ffffffffffffffffffffffffffffffff
       194  ................  09090909090909090909090909090909
