# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       599  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       523  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       256  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       209  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       158  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       152  ................  ffffffffffffffffffffffffffffffff
       147  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       117  yyyyyyyyyyyyyyyy  79797979797979797979797979797979
       109  ................  01010101010101010101010101010101
       105  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
# epoch 6000  H=7.7857 C=7.5683 HO=0.1519  A(t)=314
       441  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       398  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       356  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       296  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       199  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       140  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       133  ................  01010101010101010101010101010101
       121  ................  02020202020202020202020202020202
       110  ................  80808080808080808080808080808080
       110  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
# epoch 6250  H=7.7885 C=7.5787 HO=0.1470  A(t)=314
       613  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       595  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
