# epoch 0  H=7.9971 C=8.0032 HO=-0.0034  A(t)=0
        73  OOOOOOOOOOOOOOOO  4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f
        18  ................  85858585858585858585858585858585
        17  WWWWWWWWWWWWWWWW  57575757575757575757575757575757
        16  ...............,  0101010101010101010101010101012c
        11  ................  01010101010101010101010101010102
         7  ................  8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b
         7  ................  02010101010101010101010101010101
# epoch 10000  H=6.4614 C=6.2498 HO=0.3364  A(t)=25
      1414  ................  01010101010101010101010101010101
      1332  ................  00000000000000000000000000000000
        24  OOOOOOOOOOOOOOOO  4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f
        13  ...............,  0101010101010101010101010101012c
         7  ................  02010101010101010101010101010101
         7  ................  01010101020101010101010101010101
         7  ................  01010101010201010101010101010101
         6  ................  01020101010101010101010101010101
         6  ................  01010102010101010101010101010101
         6  ................  01010101010102010101010101010101
# epoch 10250  H=6.4597 C=6.2526 HO=0.3345  A(t)=25
      1777  ................  01010101010101010101010101010101
      1282  ................  00000000000000000000000000000000
        17  ...............,  0101010101010101010101010101012c
         6  ................  ff000000000000000000000000000000
         5  ................  02010101010101010101010101010101
         5  ................  01010101010101010101010101010100
         5  ................  01000000000000000000000000000000
         5  ................  00010000000000000000000000000000
         5  ................  00000000000000000000000001000000
         4  ................  01030101010101010101010101010101
# epoch 10500  H=6.4387 C=6.2485 HO=0.3187  A(t)=25
      1705  ................  01010101010101010101010101010101
      1157  ................  00000000000000000000000000000000
        19  ...............,  0101010101010101010101010101012c
        16  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
         9  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
         8  ..............,.  01010101010101010101010101012c01
         8  ................  01010101010101010101010101010102
         7  ................  01000000000000000000000000000000
         7  ................  00000000000000000000010000000000
         7  ................  00000000000000000000000100000000
# epoch 10750  H=6.4541 C=6.2971 HO=0.2715  A(t)=25
      1699  ................  01010101010101010101010101010101
       878  ................  00000000000000000000000000000000
        17  ...............,  0101010101010101010101010101012c
         7  ................  01010101000101010101010101010101
         7  ................  01010100010101010101010101010101
         7  ................  01000000000000000000000000000000
         6  .............,..  010101010101010101010101012c0101
         6  ................  01010101010101010101010101010102
         6  ................  01010101010100010101010101010101
         6  ................  01010101010001010101010101010101
# epoch 11000  H=6.4793 C=6.3467 HO=0.2489  A(t)=26
      1912  ................  01010101010101010101010101010101
       855  ................  00000000000000000000000000000000
        21  ...............,  0101010101010101010101010101012c
         7  ..............,.  01010101010101010101010101012c01
         6  ................  02010101010101010101010101010101
         6  .............,..  010101010101010101010101012c0101
         5  ................  05020502050205020502050205020502
         5  ................  01010101010101010101010101010102
         4  ................  02050205020502050205020502050205
         4  ............,...  0101010101010101010101012c010101
# epoch 11250  H=6.4743 C=6.3492 HO=0.2368  A(t)=27
