# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       187  ................  01010101010101010101010101010101
       169  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       166  ................  03030303030303030303030303030303
       116  ................  d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5
       110  ................  cececececececececececececececece
       100  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        94  9999999999999999  39393939393939393939393939393939
# epoch 4250  H=7.8028 C=7.6024 HO=0.1329  A(t)=302
       553  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       493  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       313  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       195  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       173  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       156  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
       152  ................  03030303030303030303030303030303
       130  5555555555555555  35353535353535353535353535353535
       129  ................  ffffffffffffffffffffffffffffffff
       118  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
# epoch 4500  H=7.8000 C=7.5983 HO=0.1371  A(t)=306
       561  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       484  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       273  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       181  ................  01010101010101010101010101010101
       125  ................  ffffffffffffffffffffffffffffffff
       116  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
       113  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       112  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
       100  ................  c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2
        92  2222222222222222  32323232323232323232323232323232
# epoch 4750  H=7.7962 C=7.5873 HO=0.1440  A(t)=307
       473  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       397  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       303  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       297  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       177  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       139  0000000000000000  30303030303030303030303030303030
       138  gggggggggggggggg  67676767676767676767676767676767
       115  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        95  ................  f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2
        95  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
# epoch 5000  H=7.7857 C=7.5645 HO=0.1562  A(t)=308
      1149  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       578  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       454  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       180  ................  01010101010101010101010101010101
       158  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       136  ................  07070707070707070707070707070707
       121  ................  81818181818181818181818181818181
       119  GGGGGGGGGGGGGGGG  47474747474747474747474747474747
       116  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       114  LLLLLLLLLLLLLLLL  4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c
# epoch 5250  H=7.7780 C=7.5604 HO=0.1498  A(t)=308
       685  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       571  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       416  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       217  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       183  ................  01010101010101010101010101010101
       145  yyyyyyyyyyyyyyyy  79797979797979797979797979797979
       142  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       134  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
       122  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
       121  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
# epoch 5500  H=7.7726 C=7.5333 HO=0.1715  A(t)=308
       852  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       630  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       597  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       264  ................  01010101010101010101010101010101
       193  0000000000000000  30303030303030303030303030303030
       177  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       147  ................  03030303030303030303030303030303
       143  ................  06060606060606060606060606060606
       137  3333333333333333  33333333333333333333333333333333
       132  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
# epoch 5750  H=7.7733 C=7.5534 HO=0.1517  A(t)=308
       690  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       593  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       497  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       159  ................  02020202020202020202020202020202
       150  ................  01010101010101010101010101010101
       116  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       113  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
        96  ................  95959595959595959595959595959595
        90  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        82  ................  bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
# epoch 6000  H=7.7705 C=7.5418 HO=0.1624  A(t)=309
       859  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       562  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       419  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       232  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       150  ................  01010101010101010101010101010101
       111  ................  03030303030303030303030303030303
       102  ................  02020202020202020202020202020202
        96  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
        91  ................  ffffffffffffffffffffffffffffffff
        89  ................  fafafafafafafafafafafafafafafafa
# epoch 6250  H=7.7696 C=7.5393 HO=0.1649  A(t)=309
       878  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       386  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       360  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       209  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       187  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       180  ................  01010101010101010101010101010101
       165  ................  ffffffffffffffffffffffffffffffff
       158  0000000000000000  30303030303030303030303030303030
       141  ................  fefefefefefefefefefefefefefefefe
       117  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
# epoch 6500  H=7.7681 C=7.5305 HO=0.1735  A(t)=310
       712  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
