# epoch 0  H=7.9973 C=8.0032 HO=-0.0032  A(t)=0
         7  ................  0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a
         7  ..............,.  01010101010101010101010101012c01
         5  ................  02010101010101010101010101010101
         5  ................  01010101010101020101010101010101
         4  ................  ff010101010101010101010101010101
         4  ................  fc000000000000000000000000000000
         4  ((((((((((((((((  28282828282828282828282828282828
# epoch 8000  H=6.7295 C=6.5856 HO=0.2714  A(t)=23
      1429  ................  01010101010101010101010101010101
       711  ................  00000000000000000000000000000000
        19  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
        17  ...............,  0101010101010101010101010101012c
         8  ..............,.  01010101010101010101010101012c01
         8  ................  01000000000000000000000000000000
         7  ................  00000000000000000000000000000100
         7  ................  00000000000000000000000000000001
         6  ................  00000000000000000000000000010000
         5  .............,..  010101010101010101010101012c0101
# epoch 8250  H=6.7356 C=6.5769 HO=0.2842  A(t)=24
      1341  ................  01010101010101010101010101010101
       713  ................  00000000000000000000000000000000
        67  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        16  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
        13  ...............,  0101010101010101010101010101012c
         8  ................  02010101010101010101010101010101
         6  ................  01020101010101010101010101010101
         6  .............,..  010101010101010101010101012c0101
         6  ..............,.  01010101010101010101010101012c01
         5  ................  01010201010101010101010101010101
# epoch 8500  H=6.7357 C=6.5837 HO=0.3064  A(t)=25
      1303  ................  01010101010101010101010101010101
       681  ................  00000000000000000000000000000000
        47  xxxxxxxxxxxxxxxx  78787878787878787878787878787878
        13  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
        12  ...............,  0101010101010101010101010101012c
        10  ................  02010101010101010101010101010101
         8  ................  01010101010101010101010101010102
         8  ................  01000000000000000000000000000000
         6  ................  01020101010101010101010101010101
         5  ................  01010201010101010101010101010101
# epoch 8750  H=6.7072 C=6.5601 HO=0.3039  A(t)=27
      1230  ................  01010101010101010101010101010101
       694  ................  00000000000000000000000000000000
        67  ................  0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a
        51  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        19  ((((((((((((((((  28282828282828282828282828282828
        10  ...............,  0101010101010101010101010101012c
         7  ................  03010101010101010101010101010101
         6  ................  01000000000000000000000000000000
         5  ................  01020101010101010101010101010101
         5  ................  00010000000000000000000000000000
# epoch 9000  H=6.6759 C=6.5288 HO=0.2950  A(t)=28
      1434  ................  01010101010101010101010101010101
       647  ................  00000000000000000000000000000000
