# epoch 0  H=7.9997 C=8.0025 HO=-0.0004  A(t)=0
        56  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        52  ................  00000000000000000000000000000000
        47  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
        47  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        42  ................  ffffffffffffffffffffffffffffffff
# epoch 1300  H=7.9914 C=7.9088 HO=0.0796  A(t)=120
       176  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        91  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        90  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
        65  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        58  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
        52  ................  00000000000000000000000000000000
        47  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        47  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
        46  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
        44  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
# epoch 1350  H=7.9910 C=7.9099 HO=0.0755  A(t)=120
       178  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        83  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
        79  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        63  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        53  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
        52  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
        47  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        45  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        35  ................  00000000000000000000000000000000
        31  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
# epoch 1400  H=7.9906 C=7.9077 HO=0.0755  A(t)=123
       210  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        78  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        73  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        54  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
        50  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        50  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
        49  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
        48  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
        45  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        36  ................  00000000000000000000000000000000
# epoch 1450  H=7.9901 C=7.9046 HO=0.0771  A(t)=125
       340  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        90  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
        73  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        69  ................  bcbcbcbcbcbcbcbcbcbcbcbcbcbcbcbc
        50  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
        49  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
        49  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        48  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
        48  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
        45  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
# epoch 1500  H=7.9895 C=7.9024 HO=0.0810  A(t)=128
       362  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        78  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        73  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        54  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
        48  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
        46  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
        44  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        44  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
        43  ................  f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8
        43  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 1550  H=7.9891 C=7.9011 HO=0.0788  A(t)=130
       301  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       110  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        93  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
        73  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        64  ))))))))))))))))  29292929292929292929292929292929
        46  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
        44  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        42  ................  f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8
        37  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        34  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
# epoch 1600  H=7.9886 C=7.8989 HO=0.0822  A(t)=132
       380  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
