# epoch 0  H=7.9971 C=8.0032 HO=-0.0034  A(t)=0
       120  ................  1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
        50  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
        46  ................  05050505050505050505050505050505
        42  ................  c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4
        36  ................  fefefefefefefefefefefefefefefefe
        36  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        36  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        35  ................  04040404040404040404040404040404
        34  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
# epoch 560  H=7.9455 C=7.4807 HO=0.4291  A(t)=66
       225  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       102  ................  1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
        66  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        47  ................  ebebebebebebebebebebebebebebebeb
        45  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
        44  ................  05050505050505050505050505050505
        42  ................  c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4
        36  ................  fefefefefefefefefefefefefefefefe
        36  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        36  KKKKKKKKKKKKKKKK  4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b
# epoch 580  H=7.9416 C=7.4795 HO=0.4307  A(t)=66
       246  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       101  ................  1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
        55  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        47  ................  ebebebebebebebebebebebebebebebeb
        44  ................  05050505050505050505050505050505
        42  ................  c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4
        37  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
        36  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        35  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
        35  ................  04040404040404040404040404040404
# epoch 600  H=7.9391 C=7.4816 HO=0.4219  A(t)=66
       229  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        89  ................  1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
        57  ________________  20202020202020202020202020202020
        48  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
        47  ................  ebebebebebebebebebebebebebebebeb
        44  ................  05050505050505050505050505050505
        42  ................  c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4
        36  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        34  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
        34  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
# epoch 620  H=7.9361 C=7.4762 HO=0.4163  A(t)=66
       200  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        80  ................  1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
        70  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        47  ................  ebebebebebebebebebebebebebebebeb
        47  ________________  20202020202020202020202020202020
        47  ................  0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d
        46  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
        40  ................  c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4
        35  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        34  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
# epoch 640  H=7.9321 C=7.4695 HO=0.4201  A(t)=67
       191  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       102  QQQQQQQQQQQQQQQQ  51515151515151515151515151515151
        69  ................  1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
        66  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        47  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
        47  ________________  20202020202020202020202020202020
        40  ................  c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4
        36  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        34  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
        34  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
# epoch 660  H=7.9296 C=7.4768 HO=0.4244  A(t)=67
       158  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        99  QQQQQQQQQQQQQQQQ  51515151515151515151515151515151
        69  ................  1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
        66  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        46  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
        40  ................  c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4
        36  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        34  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        34  ________________  20202020202020202020202020202020
        32  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
# epoch 680  H=7.9268 C=7.4679 HO=0.4203  A(t)=67
       130  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        80  QQQQQQQQQQQQQQQQ  51515151515151515151515151515151
        59  ................  1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
        56  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        53  ................  b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2
        49  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        46  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
        40  ................  c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4
