# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
# epoch 5750  H=7.9828 C=7.9034 HO=0.0587  A(t)=248
       130  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       117  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       107  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        71  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        65  5555555555555555  35353535353535353535353535353535
        57  ................  e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
        51  ................  d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9
        51  ................  00000000000000000000000000000000
        46  ................  18181818181818181818181818181818
        45  HHHHHHHHHHHHHHHH  48484848484848484848484848484848
# epoch 6000  H=7.9828 C=7.9017 HO=0.0607  A(t)=249
       144  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        72  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        68  QQQQQQQQQQQQQQQQ  51515151515151515151515151515151
        64  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        64  ................  1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e
        53  ((((((((((((((((  28282828282828282828282828282828
        52  ................  cdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcd
        52  ................  88888888888888888888888888888888
        43  ................  afafafafafafafafafafafafafafafaf
        40  ................  18181818181818181818181818181818
# epoch 6250  H=7.9825 C=7.9016 HO=0.0580  A(t)=250
       120  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       101  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        69  ................  cdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcd
        65  ................  e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3
        65  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
