# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       691  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       673  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       624  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       477  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       435  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       299  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       266  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       254  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       220  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
# epoch 5250  H=7.5885 C=7.3118 HO=0.2178  A(t)=343
       857  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       671  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       590  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       528  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       463  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       455  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       280  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       252  0000000000000000  30303030303030303030303030303030
       243  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       232  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
# epoch 5500  H=7.5799 C=7.2993 HO=0.2260  A(t)=344
      1208  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       875  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       836  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       458  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       437  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       383  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       333  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       276  9999999999999999  39393939393939393939393939393939
       264  ................  07070707070707070707070707070707
       260  ))))))))))))))))  29292929292929292929292929292929
# epoch 5750  H=7.5713 C=7.2948 HO=0.2221  A(t)=345
       945  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       769  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       614  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       495  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       475  9999999999999999  39393939393939393939393939393939
       470  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       435  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       319  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       293  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       216  !!!!!!!!!!!!!!!!  21212121212121212121212121212121
# epoch 6000  H=7.5526 C=7.2884 HO=0.2117  A(t)=348
      1377  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       792  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       731  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       647  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       504  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       379  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       317  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       267  7777777777777777  37373737373737373737373737373737
       216  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       182  9999999999999999  39393939393939393939393939393939
# epoch 6250  H=7.5443 C=7.2907 HO=0.2039  A(t)=350
       991  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       685  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       566  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       477  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       389  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       371  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       283  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       274  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       203  0000000000000000  30303030303030303030303030303030
       194  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
# epoch 6500  H=7.5384 C=7.2869 HO=0.2054  A(t)=351
       908  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       764  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       551  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       492  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
