# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
# epoch 7000  H=7.7632 C=7.5535 HO=0.1472  A(t)=312
       469  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       395  ................  01010101010101010101010101010101
       363  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       280  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       197  ................  02020202020202020202020202020202
       168  ................  ffffffffffffffffffffffffffffffff
       156  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       146  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       128  ................  06060606060606060606060606060606
       127  5555555555555555  35353535353535353535353535353535
# epoch 7250  H=7.7627 C=7.5440 HO=0.1575  A(t)=312
       788  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       687  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       445  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       254  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       134  ................  02020202020202020202020202020202
       120  ................  a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9
       119  ................  80808080808080808080808080808080
       109  3333333333333333  33333333333333333333333333333333
       107  ................  ffffffffffffffffffffffffffffffff
       102  ................  e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6
# epoch 7500  H=7.7700 C=7.5579 HO=0.1478  A(t)=312
       611  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       458  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       299  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       222  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       177  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       138  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
       114  ................  83838383838383838383838383838383
       107  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       105  ................  ebebebebebebebebebebebebebebebeb
       102  ................  ffffffffffffffffffffffffffffffff
# epoch 7750  H=7.7704 C=7.5502 HO=0.1600  A(t)=312
       815  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       554  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       535  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       185  ................  fefefefefefefefefefefefefefefefe
       182  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       156  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       156  ................  01010101010101010101010101010101
