# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
# epoch 5250  H=7.7767 C=7.5514 HO=0.1574  A(t)=311
       791  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       660  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       472  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       214  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       206  ................  fefefefefefefefefefefefefefefefe
       155  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       138  ................  ffffffffffffffffffffffffffffffff
       128  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       125  ................  81818181818181818181818181818181
       123  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
# epoch 5500  H=7.7760 C=7.5513 HO=0.1569  A(t)=311
       637  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       560  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       470  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       256  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       147  ................  01010101010101010101010101010101
       137  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       120  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       116  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       108  7777777777777777  37373737373737373737373737373737
       100  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
# epoch 5750  H=7.7715 C=7.5490 HO=0.1549  A(t)=313
       562  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       513  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       409  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       251  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       205  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       173  ................  01010101010101010101010101010101
       139  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
       123  ................  ffffffffffffffffffffffffffffffff
       120  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       107  ................  80808080808080808080808080808080
# epoch 6000  H=7.7722 C=7.5473 HO=0.1582  A(t)=313
       664  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       616  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       516  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       208  ................  01010101010101010101010101010101
       164  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       143  ................  8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b
       140  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       139  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       126  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       125  2222222222222222  32323232323232323232323232323232
# epoch 6250  H=7.7715 C=7.5586 HO=0.1489  A(t)=313
       769  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       533  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       396  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       230  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       215  ................  81818181818181818181818181818181
       149  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       120  ................  01010101010101010101010101010101
       106  ................  fafafafafafafafafafafafafafafafa
